"lat" "lon" "sal" "temp"
-55.585 175.23 0.035782038 0.60319167
-55.515 171.424 -0.19855472 -2.7086558
-55.323 173.926 -0.092866844 -1.9684772
-55.315 168.3 0.1933801 1.5146391
-55.25917 174.91081 -0.040974421 -0.366709
-55.044 173.115 -0.079687908 -1.8048627
-54.516 175.985 -0.1232551 -0.67390746
-54.421 177.69 0.0041807848 0.28188515
-54.357 164.289 0.20472724 2.2071534
-54.268 170.772 0.18135315 1.5466156
-53.736 164.147 0.13014823 1.1006584
-53.48 175.955 -0.075245979 -2.6588777
-53.4 176.349 0.021821577 -2.7905773
-52.72941 175.45504 0.04768266 0.9283039
-52.65428 176.93231 -0.027481275 -0.49115536
-52.21954 164.68288 0.080212575 0.31620709
-52.10076 164.49178 0.081010393 0.32615748
-52.09211 175.92417 -0.063092934 -0.31859367
-51.814 176.454 -0.026336628 -0.57260419
-64.99654 164.7573 -0.0052619248 0.23589582
-64.97475 164.73545 -0.0022776446 0.25265044
-64.94762 164.68081 -0.0005308998 0.23621879
-63.99378 165.24168 0.013808819 -0.045480211
-63.99303 165.19356 0.013450353 -0.065377284
-63.99277 165.26546 0.012079464 -0.05406454
-63.98607 165.13165 0.017156323 -0.047848678
-63.9144 164.85786 0.020457392 -0.001230637
-63.85785 164.88339 0.038450647 0.016983839
-63.635 173.935 0.12943746 -0.57745009
-63.331 178.454 -0.0045315445 0.23470872
-63.325 173.73 0.12741994 -0.52106775
-63.18647 166.45317 0.0059361703 -0.16877063
-63.119 172.908 0.11559045 -0.53990159
-63.033 178.837 -0.027845458 0.20413125
-63.01827 165.83363 -0.0024830321 -0.095564902
-63.0177 165.84024 0.00099212857 -0.081267892
-63.01657 165.84147 0.0014013992 -0.074509074
-63.00988 165.82921 -0.005176883 -0.10328448
-62.759 179.102 0.10674794 0.22184903
-62.754 179.776 0.1185312 0.26777726
-62.475 172.393 0.067090967 0.016400743
-62.33226 164.58273 0.072065166 0.43455658
-62.27145 165.2354 0.12625709 0.32626629
-62.25815 164.06605 0.078215966 0.40008397
-62.16367 167.41759 0.0252775 0.39328048
-62.13 169.841 -0.0045017758 0.36444209
-61.886 177.66 0.13860898 -0.032605347
-61.86289 163.21319 0.18364235 0.1900001
-61.86011 166.58122 0.1192953 -0.072669411
-61.817 168.079 0.15475062 -0.33401689
-61.68488 166.28081 0.10705287 -0.34424247
-61.601118 162.38704 0.13950835 0.31120554
-61.589 177.813 0.13595377 0.017125175
-61.545 179.321 0.080186296 0.071306291
-61.514915 161.00931 0.11885712 0.23802279
-61.355 169.069 0.049272903 -0.24885735
-61.128 179.093 -0.0040835089 0.60978622
-61.10342 169.22081 -0.0625868 -0.29808774
-61.08769 178.20803 -0.053688494 0.63676758
-61.032 176.385 -0.050757559 0.60190233
-60.91935 178.93997 0.017449362 0.46836636
-60.8397 168.32623 -0.011693723 -1.0099691
-60.77727 179.47812 0.034182853 0.73229691
-60.5018 169.52146 -0.05553489 0.29135336
-60.48 168.171 0.037841346 -0.48868086
